index,abs_error_float,abs_error_lsb
244,0.00128340,0.328550
245,0.00106542,0.272748
246,0.00284093,0.727279
247,0.00012938,0.033121
248,0.00100868,0.258223
249,0.00043066,0.110249
250,0.00017510,0.044826
251,0.00101899,0.260862
252,0.00146572,0.375225
253,0.00123007,0.314899
254,0.00136308,0.348949
255,0.00213082,0.545490
256,0.00009226,0.023619
257,0.00099025,0.253504
258,0.00202969,0.519600
259,0.00218270,0.558771
260,0.00272324,0.697149
261,0.00049441,0.126569
262,0.00359897,0.921336
263,0.00132954,0.340363
264,0.00011254,0.028810
265,0.00093108,0.238357
266,0.00202788,0.519137
267,0.00070239,0.179812
268,0.00036674,0.093887
269,0.00114544,0.293233
270,0.00031192,0.079851
271,0.00100655,0.257677
272,0.00374220,0.958004
273,0.00138241,0.353896
274,0.00005510,0.014107
275,0.00177166,0.453544
276,0.00004427,0.011334
277,0.00007009,0.017943
278,0.00126848,0.324731
279,0.00121501,0.311042
280,0.00010757,0.027538
281,0.00232625,0.595519
282,0.00002613,0.006690
283,0.00156248,0.399995
284,0.00146187,0.374239
285,0.00170366,0.436136
286,0.00169100,0.432897
287,0.00221947,0.568185
288,0.00174429,0.446539
289,0.00046204,0.118282
290,0.00245684,0.628951
291,0.00077632,0.198737
292,0.00073663,0.188578
293,0.00175691,0.449768
294,0.00043097,0.110328
295,0.00050365,0.128934
296,0.00076140,0.194919
297,0.00000149,0.000381
298,0.00119095,0.304884
299,0.00149541,0.382825
300,0.00242908,0.621845
301,0.00093708,0.239891
302,0.00024321,0.062261
303,0.00050744,0.129905
304,0.00134075,0.343231
305,0.00191333,0.489812
306,0.00106863,0.273569
307,0.00175891,0.450282
308,0.00191680,0.490701
309,0.00091115,0.233256
310,0.00258956,0.662928
311,0.00009700,0.024832
312,0.00083540,0.213861
313,0.00067527,0.172868
314,0.00013341,0.034153
315,0.00083666,0.214184
316,0.00156708,0.401173
317,0.00164252,0.420485
318,0.00134654,0.344714
319,0.00267698,0.685308
320,0.00002533,0.006484
321,0.00115287,0.295135
322,0.00256187,0.655839
323,0.00226461,0.579739
324,0.00249253,0.638088
325,0.00043140,0.110439
326,0.00406245,1.039986
327,0.00131575,0.336831
328,0.00024253,0.062088
329,0.00112221,0.287286
330,0.00225513,0.577314
331,0.00066200,0.169473
332,0.00042056,0.107663
333,0.00066063,0.169122
334,0.00021577,0.055237
335,0.00068641,0.175722
336,0.00377074,0.965311
337,0.00106854,0.273546
338,0.00015749,0.040318
339,0.00159698,0.408827
340,0.00016018,0.041006
341,0.00018387,0.047070
342,0.00136037,0.348255
343,0.00082630,0.211532
344,0.00016578,0.042440
345,0.00263737,0.675167
346,0.00032146,0.082295
347,0.00184214,0.471587
348,0.00124677,0.319174
349,0.00129702,0.332038
350,0.00203861,0.521883
351,0.00195645,0.500850
352,0.00173207,0.443411
353,0.00064119,0.164146
354,0.00287137,0.735071
355,0.00056786,0.145371
356,0.00090210,0.230937
